timestamp_from,region,carbon_intensity_g_per_kwh,source
2026-08-22T23:00Z,UK,135.00,NESO/UK Carbon Intensity API (forecast)
2026-08-22T23:30Z,UK,136.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T00:00Z,UK,117.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T00:30Z,UK,118.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T01:00Z,UK,118.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T01:30Z,UK,119.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T02:00Z,UK,123.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T02:30Z,UK,114.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T03:00Z,UK,108.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T03:30Z,UK,111.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T04:00Z,UK,115.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T04:30Z,UK,114.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T05:00Z,UK,112.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T05:30Z,UK,116.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T06:00Z,UK,112.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T06:30Z,UK,107.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T07:00Z,UK,105.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T07:30Z,UK,105.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T08:00Z,UK,100.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T08:30Z,UK,91.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T09:00Z,UK,85.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T09:30Z,UK,80.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T10:00Z,UK,75.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T10:30Z,UK,74.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T11:00Z,UK,75.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T11:30Z,UK,74.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T12:00Z,UK,76.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T12:30Z,UK,77.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T13:00Z,UK,78.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T13:30Z,UK,84.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T14:00Z,UK,87.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T14:30Z,UK,102.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T15:00Z,UK,110.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T15:30Z,UK,126.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T16:00Z,UK,147.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T16:30Z,UK,156.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T17:00Z,UK,168.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T17:30Z,UK,178.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T18:00Z,UK,185.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T18:30Z,UK,190.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T19:00Z,UK,193.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T19:30Z,UK,193.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T20:00Z,UK,188.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T20:30Z,UK,187.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T21:00Z,UK,187.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T21:30Z,UK,184.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T22:00Z,UK,183.00,NESO/UK Carbon Intensity API (forecast)
2026-08-23T22:30Z,UK,179.00,NESO/UK Carbon Intensity API (forecast)
